Strategy,Tier,Ticker,Signal Date,rows,pnl,risk,gap_atr,size_mult,any_eodd,all_tgt,all_time,far_time,far_R,entry,R,year,era,path_gap,path_size,exit_pos,rank_2d,rank_5d,rank_10d,rank_21d,extremity,cell,sector,semis,megacap_tech,theme
Overbot Vol Spike,Overflow,NDAQ,2005-11-22,2,999.0,900.0,0.04276367969236011,0.2,False,False,False,True,1.1832769131165664,2005-11-23,1.11,2005,pre,P2,P2,Mixed,97.7803738317757,96.48300117233293,93.98584905660378,97.9689366786141,96.55454018483164,top,Financial Services,False,False,False
Overbot Vol Spike,Overflow,NDAQ,2005-11-21,2,-922.0,900.0,0.23199005685318233,0.2,False,False,True,True,-1.0243919806108572,2005-11-22,-1.0244444444444445,2005,pre,P2,P2,Time,97.77777777777777,90.02347417840375,89.728453364817,97.60765550239235,93.78434020584771,bottom,Financial Services,False,False,False
Overbot Vol Spike,Liquid,IP,2005-12-01,2,611.0,900.0,0.2096639523944793,0.2,False,False,False,True,0.46555526822715365,2005-12-02,0.6788888888888889,2005,pre,P2,P2,Mixed,88.22341857335128,88.40188806473364,91.94857916102842,96.18268575323789,91.1891428880878,bottom,Consumer Cyclical,False,False,False
Overbot Vol Spike,Overflow,AEM,2005-12-07,2,-807.0,4500.0,0.35591545506409344,1.0,False,False,True,True,-0.17925868421059515,2005-12-08,-0.17933333333333334,2005,pre,P1,P1,Time,97.58389261744966,98.92400806993948,91.43049932523617,97.48470428280082,96.35577607385653,top,Basic Materials,False,False,False
Overbot Vol Spike,Overflow,AEM,2005-12-08,2,4609.0,4500.0,0.6971071234498545,1.0,False,False,False,True,1.0403615415063405,2005-12-09,1.0242222222222221,2005,pre,P1,P1,Mixed,93.62843729040911,97.17741935483872,95.75185434929197,98.4375,96.24880274863496,top,Basic Materials,False,False,False
Overbot Vol Spike,Overflow,PZZA,2006-01-05,2,-118.0,675.0,0.2073875503343839,0.15,False,False,True,True,-0.17553525160009892,2006-01-06,-0.1748148148148148,2006,pre,P2,P2,Time,94.23459244532803,97.47675962815406,96.93537641572286,96.3758389261745,96.25564185384486,top,Consumer Cyclical,False,False,False
Overbot Vol Spike,Overflow,BLK,2006-02-14,2,5396.0,3375.0,2.00747701805142,0.75,False,True,False,False,1.9989616086390132,2006-02-15,1.598814814814815,2006,pre,P1,P1,Target,99.34895833333334,97.26027397260275,92.08115183246073,99.0112063282795,96.92539761666907,top,Financial Services,False,False,False
Overbot Vol Spike,Liquid,ITW,2006-03-14,2,-3647.0,3375.0,0.762767971330906,0.75,False,False,True,True,-1.0806538702572581,2006-03-15,-1.0805925925925925,2006,pre,P1,P1,Time,88.10289389067523,85.24484536082474,96.89722042663219,94.01041666666666,91.06384408619971,bottom,Industrials,False,False,False
Overbot Vol Spike,Liquid,ITW,2006-03-15,2,639.0,675.0,0.025604725143986224,0.15,False,False,False,True,0.909197923251073,2006-03-16,0.9466666666666667,2006,pre,P2,P2,Mixed,96.46529562982005,97.81068898905345,97.02842377260981,97.65777488614184,97.2405458194063,top,Industrials,False,False,False
Overbot Vol Spike,Overflow,AEM,2006-04-18,2,465.0,675.0,0.18443907785861324,0.15,False,False,False,True,0.48136272497707433,2006-04-19,0.6888888888888889,2006,pre,P2,P2,Mixed,88.15706143128563,87.81725888324873,86.7600254614895,98.26923076923076,90.25089413631365,bottom,Basic Materials,False,False,False
