variant,horizon,cell,n,n_clusters,mean_pct,median_pct,pct_neg,t_vs_zero,t_vs_control,t_vs_baseline,sign_p_vs_control,ctrl_mean_pct,ctrl_pct_neg,base_mean_pct,base_pct_neg
sma5,63,drawdown_63d_fire_days,248,42,-7.144412820090422,-7.340758755686755,60.88709677419355,,-2.642837157250228,-1.6749886774587985,,-3.6702836435856327,23.776223776223777,-5.115165495570529,34.091265485337935
sma5,63,drawdown_63d_episodes,42,42,-4.698452891540089,-3.473468039412303,40.476190476190474,,-1.2442102378367408,0.6410382707638993,0.012060831378821102,-3.6702836435856327,23.776223776223777,-5.115165495570529,34.091265485337935
sma8,5,fire_days,249,34,-0.24721821435512875,0.08138768323446843,46.58634538152611,-1.1213273627700824,-1.901811605087023,-2.000374844050281,,0.17794178997568655,40.047889853337324,0.1979813245996039,41.52292152292152
sma8,5,episode_starts,34,34,0.03809703332684881,0.013662210905573957,50.0,0.1199504846198171,-0.3070672239041448,-0.5011106880272654,0.1564141098490063,0.16576116538833613,43.47826086956522,0.1979813245996039,41.52292152292152
sma8,10,fire_days,244,34,-0.3955819573201273,-0.26557887642515987,53.278688524590166,-0.8730662245223427,-1.6541715103244616,-1.732555488682006,,0.3647099005579505,36.037114636336426,0.39267073546264947,38.55365474339036
sma8,10,episode_starts,34,34,0.4129664224741801,1.2273327682279622,41.17647058823529,0.8779809676990546,-0.557910723630548,0.042984662576267964,0.323420860985227,0.7252879383486605,32.608695652173914,0.39267073546264947,38.55365474339036
sma8,21,fire_days,235,33,-0.42061944426009834,0.5355153914721189,45.53191489361702,-0.4717588963971458,-1.2695432868408365,-1.3843305150554803,,0.7360137601756409,32.52470799640611,0.8163250431148652,34.77177130394142
sma8,21,episode_starts,33,33,0.9843167775887441,1.4522897035266435,30.303030303030305,1.4970985021866434,-0.3169081884659099,0.2544929598056439,0.6699094140963128,1.2390790090187138,28.26086956521739,0.8163250431148652,34.77177130394142
sma8,42,fire_days,235,33,-0.723716666019612,-0.1333222976160342,51.48936170212765,-0.5003410123940765,-1.5351552657384426,-1.6300459419416589,,1.57352959448314,28.11087677011148,1.6377223718693448,31.55673648015005
sma8,42,episode_starts,33,33,1.2534385412077396,1.7975346534352843,33.33333333333333,1.5454241082316762,-0.756638782195964,-0.4714753345343106,0.3103118758558969,2.0833704058628593,26.08695652173913,1.6377223718693448,31.55673648015005
sma8,63,fire_days,235,33,-0.2883824691506639,0.2668631216630635,47.65957446808511,-0.1882104713930621,-1.6955561894521942,-1.8179175754150672,,2.459389929694286,25.95396729254997,2.5025773806956786,29.73184883173906
sma8,63,episode_starts,33,33,1.7827403133650617,1.9478855197415434,33.33333333333333,1.647314578598021,-0.8056614069578022,-0.6625420588490518,0.21728855890489368,2.9238035526825956,23.91304347826087,2.5025773806956786,29.73184883173906
sma8,21,drawdown_21d_fire_days,235,33,-3.574684286991899,-2.5841650865726207,30.638297872340424,,-2.391849392185627,-1.2041434801680424,,-1.9172071325358642,8.775082359988021,-2.75880861562562,17.86882692008101
sma8,21,drawdown_21d_episodes,33,33,-2.2825865044018423,-1.7659678201497053,15.151515151515152,,-0.7588643576164549,1.0374688265818468,0.15903942925816145,-1.9172071325358642,8.775082359988021,-2.75880861562562,17.86882692008101
sma8,63,drawdown_63d_fire_days,235,33,-7.132041191541594,-7.58244122527727,60.0,,-2.3813760282353678,-1.4934683483957927,,-3.6848417937986975,23.985463355542098,-5.115165495570529,34.091265485337935
sma8,63,drawdown_63d_episodes,33,33,-4.227308528599139,-3.156325466841481,36.36363636363637,,-0.6022241888213506,1.2085601542619537,0.07619145513117255,-3.6848417937986975,23.985463355542098,-5.115165495570529,34.091265485337935
sma13,5,fire_days,249,30,-0.15526117643098528,0.12643556030385028,44.57831325301205,-0.6255954037809036,-1.300572089361085,-1.412750448675304,,0.17108836212680548,40.19754564501646,0.1979813245996039,41.52292152292152
sma13,5,episode_starts,30,30,0.45629961117731876,0.5362624105965996,40.0,1.3092760629802493,0.9837805594534577,0.7383939685983074,0.5776212979004114,0.026553358406386625,36.95652173913043,0.1979813245996039,41.52292152292152
sma13,10,fire_days,244,30,-0.3109243072777257,-0.22455181695926751,52.04918032786885,-0.619524149314701,-1.3187330869242364,-1.3972273516968876,,0.3585271808302205,36.12690811134391,0.39267073546264947,38.55365474339036
sma13,10,episode_starts,30,30,0.7581102795930775,1.3810038271838576,36.666666666666664,1.608948465960963,0.41055376592080023,0.7726280629299925,0.5439977691033572,0.5237965818822716,32.608695652173914,0.39267073546264947,38.55365474339036
sma13,21,fire_days,241,29,-0.25486066802852286,0.553263001022275,44.81327800829876,-0.2759307316500636,-1.0408544694927333,-1.157403771223706,,0.7261103500810729,32.553255325532554,0.8163250431148652,34.77177130394142
sma13,21,episode_starts,29,29,1.7255332697372519,2.9412106446602415,24.137931034482758,2.511822545244406,0.31550082589392225,1.3186997377492504,0.8802490740411875,1.4755626684580254,26.08695652173913,0.8163250431148652,34.77177130394142
sma13,42,fire_days,241,29,-0.770273967766148,-1.0953487967981124,53.941908713692946,-0.531431638724876,-1.5706309124164504,-1.6587707032851469,,1.5810767684293916,27.89012979172955,1.6377223718693448,31.55673648015005
sma13,42,episode_starts,29,29,1.78674239951189,3.8350396493051164,31.03448275862069,1.7647460402393098,-0.5475782734986134,0.1467204417779775,0.42070710804488504,2.447422550287476,23.91304347826087,1.6377223718693448,31.55673648015005
sma13,63,fire_days,241,29,-0.018832501420327042,0.7524515582803426,46.47302904564315,-0.012919473081647372,-1.5934174834194932,-1.7259829058293976,,2.4446827367847166,26.001213592233007,2.5025773806956786,29.73184883173906
sma13,63,episode_starts,29,29,2.5713887511295765,5.315323437916897,27.586206896551722,1.9160041862786947,-0.5168708489762701,0.05114179632759185,0.4930115286987303,3.380873607753377,21.73913043478261,2.5025773806956786,29.73184883173906
sma13,21,drawdown_21d_fire_days,241,29,-3.3795257358406454,-2.2473698165295097,29.460580912863072,,-1.9993614993521938,-0.8708299382851165,,-1.9283347496677923,8.82088208820882,-2.75880861562562,17.86882692008101
sma13,21,drawdown_21d_episodes,29,29,-1.786010914863638,-0.8588418651216512,13.793103448275861,,0.2749615258157037,1.9488509569311996,0.25021117667913706,-1.9283347496677923,8.82088208820882,-2.75880861562562,17.86882692008101
sma13,63,drawdown_63d_fire_days,241,29,-6.951783613490285,-7.427366353202769,58.09128630705395,,-2.2295502991545395,-1.337433125854642,,-3.6917467937756103,24.059466019417474,-5.115165495570529,34.091265485337935
sma13,63,drawdown_63d_episodes,29,29,-3.9765495375722533,-1.9784014648106418,31.03448275862069,,-0.26885082636390867,1.2207487129996228,0.24754515007871516,-3.6917467937756103,24.059466019417474,-5.115165495570529,34.091265485337935
sma21,5,fire_days,240,25,-0.11140265919904561,0.2170141841543738,42.5,-0.36571813018599214,-0.9072699023371436,-1.0106339073634187,,0.16706949944540675,40.35820895522388,0.1979813245996039,41.52292152292152
sma21,5,episode_starts,25,25,0.4499287564261411,0.4434871395349482,40.0,1.2245890736515994,0.9103660400747526,0.6833969821543221,0.5897476104273749,0.05948747824868354,39.02439024390244,0.1979813245996039,41.52292152292152
sma21,10,fire_days,235,25,-0.29697401034106785,0.268905823430976,46.808510638297875,-0.5441231448446717,-1.1840635478940051,-1.2599973801634068,,0.3557500515248217,36.53731343283582,0.39267073546264947,38.55365474339036
sma21,10,episode_starts,25,25,0.37534688710521413,1.264872755079316,44.0,0.6493882875320839,-0.2235942747243954,-0.029896125459672636,0.28136836293929923,0.5201821529533521,31.70731707317073,0.39267073546264947,38.55365474339036
sma21,21,fire_days,234,24,-0.3195618424065323,0.3214725123316886,47.43589743589743,-0.3223738274629424,-1.036774441621837,-1.1438740905041656,,0.7285873793258892,32.395209580838326,0.8163250431148652,34.77177130394142
sma21,21,episode_starts,24,24,1.234159361636341,1.8294013987070867,20.833333333333336,1.4848028972683815,-0.04057661363739995,0.5014401338027418,0.9286547751515949,1.272060341602361,26.82926829268293,0.8163250431148652,34.77177130394142
sma21,42,fire_days,234,24,-1.0682483689344007,-1.9369212366831923,58.54700854700855,-0.6572569606377252,-1.593804914266906,-1.6628448509730689,,1.5971209114173441,27.620481927710845,1.6377223718693448,31.55673648015005
sma21,42,episode_starts,24,24,0.4781449106615561,1.1139022913305263,45.83333333333333,0.4026196864077677,-1.1680190056949515,-0.9741716898904097,0.0430965888852735,2.1293556235177675,21.951219512195124,1.6377223718693448,31.55673648015005
sma21,63,fire_days,234,24,-0.2748791893214747,0.041087176985565854,49.572649572649574,-0.1861330331185585,-1.7340125585440709,-1.8767625408193578,,2.4576013920379514,25.825007568876778,2.5025773806956786,29.73184883173906
sma21,63,episode_starts,24,24,0.37133704557659186,2.3784019906856635,41.66666666666667,0.23128759615633412,-1.6421087499364357,-1.3250682336475363,0.06646492950682427,3.387506273649215,19.51219512195122,2.5025773806956786,29.73184883173906
sma21,21,drawdown_21d_fire_days,234,24,-3.336432931996791,-2.0759483422232328,29.059829059829063,,-1.7176860499615891,-0.7209621289377761,,-1.934395244578772,8.892215568862277,-2.75880861562562,17.86882692008101
sma21,21,drawdown_21d_episodes,24,24,-1.9899487551978017,-0.8435871344980528,16.666666666666664,,-0.09040553025207335,1.2936049162390384,0.15978769449853564,-1.934395244578772,8.892215568862277,-2.75880861562562,17.86882692008101
sma21,63,drawdown_63d_fire_days,234,24,-7.087449370569169,-8.374994211644788,60.256410256410255,,-2.1922353241505035,-1.35801600856646,,-3.689044544481497,23.978201634877383,-5.115165495570529,34.091265485337935
sma21,63,drawdown_63d_episodes,24,24,-5.4062223188664795,-5.222136306412289,50.0,,-1.3057154440200847,-0.24291167120948867,0.0050289549578467424,-3.689044544481497,23.978201634877383,-5.115165495570529,34.091265485337935
ema5,5,fire_days,240,34,-0.4109203480748885,-0.1368296448497064,52.083333333333336,-2.3820921200503316,-3.407804622094393,-3.4761472074836703,,0.18852748312606415,39.67164179104478,0.1979813245996039,41.52292152292152
ema5,5,episode_starts,34,34,-0.3184208047681351,0.2780526781200443,47.05882352941176,-0.799897551735516,-0.6825701621889553,-1.293470606163857,0.23869572900735223,0.006381971957896283,41.30434782608695,0.1979813245996039,41.52292152292152
ema5,10,fire_days,235,34,-0.6283251591927738,-0.45827170993194555,56.59574468085107,-1.6707442535396706,-2.636631708621017,-2.6987178733414883,,0.37899408733979206,35.85074626865672,0.39267073546264947,38.55365474339036
ema5,10,episode_starts,34,34,0.21207913718680702,0.23218470078569808,44.11764705882353,0.4779478470472463,-0.29687906464787106,-0.4052425910859437,0.20289339269993878,0.3893735923550554,34.78260869565217,0.39267073546264947,38.55365474339036
ema5,21,fire_days,227,34,-0.8024695665289439,-0.35188122224858454,51.98237885462555,-0.9963835833819956,-1.8960329416208552,-2.0046420858284266,,0.7591469875791492,32.11831490887362,0.8163250431148652,34.77177130394142
ema5,21,episode_starts,34,34,0.17253812770156748,0.0624095311013928,47.05882352941176,0.33352619074047013,-1.4482998417037645,-1.236525631042807,0.04922189803929387,1.2250882032044914,28.26086956521739,0.8163250431148652,34.77177130394142
ema5,42,fire_days,224,32,-1.3276055759533536,-1.5633040364181283,54.46428571428571,-0.955922548333341,-2.042160531917607,-2.131547005956584,,1.606563050026572,27.98798798798799,1.6377223718693448,31.55673648015005
ema5,42,episode_starts,32,32,0.9813317202864811,1.3477365942835218,28.125,1.3444455248604883,-0.8226564865318539,-0.8938265752148247,0.559820704494115,1.871612813339372,32.608695652173914,1.6377223718693448,31.55673648015005
ema5,63,fire_days,224,32,-1.2544538756845687,-0.6644721304919499,53.57142857142857,-0.8227419531481871,-2.3381595303250036,-2.4591838971123385,,2.5155850696509114,25.626320555387867,2.5025773806956786,29.73184883173906
ema5,63,episode_starts,32,32,0.8662266403949348,1.7074303074455122,34.375,0.8516074869742397,-1.4580579488557943,-1.6015870228234594,0.1745071092131734,2.902500732831721,26.08695652173913,2.5025773806956786,29.73184883173906
ema5,21,drawdown_21d_fire_days,227,34,-3.847918594092878,-2.9735832995754996,33.480176211453745,,-3.090805891401422,-1.7751984821785227,,-1.9026375566540972,8.634598147594861,-2.75880861562562,17.86882692008101
ema5,21,drawdown_21d_episodes,34,34,-2.649930877901914,-1.881577979116078,14.705882352941178,,-1.6139707622135724,0.2467694788725296,0.16588169542810483,-1.9026375566540972,8.634598147594861,-2.75880861562562,17.86882692008101
ema5,63,drawdown_63d_fire_days,224,32,-7.676617092718168,-8.509534143815939,66.51785714285714,,-2.969070907864714,-2.043278404141051,,-3.659467266636493,23.664352550558405,-5.115165495570529,34.091265485337935
ema5,63,drawdown_63d_episodes,32,32,-4.703835861832484,-3.7332731350897097,37.5,,-1.1245365577494808,0.5295231035491654,0.05615183902947186,-3.659467266636493,23.664352550558405,-5.115165495570529,34.091265485337935
ema8,5,fire_days,220,30,-0.4090950618586885,-0.15098643034232584,51.36363636363637,-1.877924357801501,-2.6943520320599785,-2.7599650660912816,,0.18485077108108405,39.79228486646884,0.1979813245996039,41.52292152292152
ema8,5,episode_starts,30,30,-0.23218964021565872,-0.18027203896270327,56.666666666666664,-0.6387505013162699,-0.6799191137079538,-1.1792721962913268,0.04578432208372763,0.06813097082571198,40.0,0.1979813245996039,41.52292152292152
ema8,10,fire_days,215,30,-0.6343154703724673,-0.45827170993194555,56.27906976744186,-1.3182805010390597,-2.0733477303553487,-2.126571771486005,,0.37339810276204216,35.99406528189911,0.39267073546264947,38.55365474339036
ema8,10,episode_starts,30,30,0.3216060624024782,0.5019704020973514,43.333333333333336,0.6218400690306265,-0.37328940246376013,-0.13697263847016639,0.25565892411925223,0.5506777880804179,35.55555555555556,0.39267073546264947,38.55365474339036
ema8,21,fire_days,207,30,-0.6519163438003889,-0.23351234496420403,51.20772946859904,-0.6853517252444589,-1.440228312161911,-1.5406074407172805,,0.740615105135736,32.28393228393228,0.8163250431148652,34.77177130394142
ema8,21,episode_starts,30,30,1.3425537521985031,0.8523510439633397,40.0,2.2927033012374363,0.22014859034743375,0.8941594901928139,0.2359172767177886,1.1745521284060587,26.666666666666668,0.8163250431148652,34.77177130394142
ema8,42,fire_days,206,29,-1.276558119724248,-1.9223230827869697,57.28155339805825,-0.8078589322340868,-1.7652440812766148,-1.841878776419162,,1.5876470371081624,27.956989247311824,1.6377223718693448,31.55673648015005
ema8,42,episode_starts,29,29,0.9083690837715607,1.7975346534352843,34.48275862068966,0.9589406550418561,-0.895787544407547,-0.7671813779623565,0.2756780486026997,2.0051667656664836,28.888888888888886,1.6377223718693448,31.55673648015005
ema8,63,fire_days,206,29,-0.9460394533608814,-0.4971517632085587,51.94174757281553,-0.5872609880596984,-2.0191565585629805,-2.1369472969483807,,2.4761392359629144,25.878114680276195,2.5025773806956786,29.73184883173906
ema8,63,episode_starts,29,29,1.173444166447544,1.9478855197415434,31.03448275862069,0.9269244219746103,-1.1496287830774217,-1.046887529174774,0.3265866366406916,2.979677003819807,24.444444444444443,2.5025773806956786,29.73184883173906
ema8,21,drawdown_21d_fire_days,207,30,-3.833547293997669,-2.7563512675292667,32.850241545893724,,-2.6999121856093353,-1.5428620908529478,,-1.9150760716135518,8.820908820908821,-2.75880861562562,17.86882692008101
ema8,21,drawdown_21d_episodes,30,30,-2.3928966420998683,-1.8053472523574143,16.666666666666664,,-0.9251070006547291,0.7361015802850288,0.11989264032585396,-1.9150760716135518,8.820908820908821,-2.75880861562562,17.86882692008101
ema8,63,drawdown_63d_fire_days,206,29,-7.785586064685964,-9.575984010092242,67.47572815533981,,-2.7996352188164217,-1.938079620928021,,-3.6744360713930537,23.836685679975982,-5.115165495570529,34.091265485337935
ema8,63,drawdown_63d_episodes,29,29,-4.53969434330621,-3.5328377754634377,37.93103448275862,,-0.8877389865168418,0.6917110939857499,0.06390766245166926,-3.6744360713930537,23.836685679975982,-5.115165495570529,34.091265485337935
ema13,5,fire_days,211,27,-0.27765426742387184,0.08200559642186356,45.497630331753555,-1.1514211733117992,-1.857731932310389,-1.9569317357617566,,0.17506103443645418,40.1894051494525,0.1979813245996039,41.52292152292152
ema13,5,episode_starts,27,27,0.058988302457789826,0.11439637548349424,44.44444444444444,0.17125664013946082,-0.4326564258801226,-0.4019641864748268,0.39507765846125614,0.24705534016463215,42.857142857142854,0.1979813245996039,41.52292152292152
ema13,10,fire_days,206,27,-0.5236762722671855,-0.32492169716631936,53.398058252427184,-1.0110604903669256,-1.6972211713550698,-1.7636151699139235,,0.3639689530230961,36.22373483279077,0.39267073546264947,38.55365474339036
ema13,10,episode_starts,27,27,0.654895746297179,0.42400384426426463,44.44444444444444,1.5191362545452176,-0.2109978875268786,0.6055127083056415,0.24280496810855487,0.7710797808593658,30.952380952380953,0.39267073546264947,38.55365474339036
ema13,21,fire_days,203,26,-0.5257282494384145,0.14027276639412278,48.76847290640394,-0.5260588131868245,-1.2366853021270467,-1.3405817262838646,,0.7313637527325245,32.453277959062596,0.8163250431148652,34.77177130394142
