strategy,dim,cell,days,n_years,mean_bps,sd_bps,sharpe,mean_bps_rest,sd_bps_rest,sharpe_rest,sd_ratio,kelly_ratio,worst_day_pct,cvar5_bps,pnl_share,day_share,active_share,t_year_mean,p_year_mean,t_year_sd,p_year_sd,levene_p,q_p_year_mean,q_p_year_sd,q_levene_p
52wh Breakout,holiday,post,212,24,1.4430075471698114,36.229212930207474,0.6322807702980531,1.2272549090689384,29.170711187581755,0.6678639949090887,1.2419722199173049,0.7657460058462683,-1.317752,-85.60957333333333,0.043228953859022694,0.037004712864374234,0.5754716981132075,0.042780636692738586,0.9662456316708813,1.2061857064802086,0.24000732164095168,0.10107117619431286,0.986374560226817,0.3388338658460494,0.4042847047772515
52wh Breakout,holiday,pre,212,24,3.2436471698113203,19.145363400879607,2.6894920422659516,1.1580623043924838,29.781844710992164,0.6172777186652966,0.6428535098033485,6.808513807210017,-0.6367453333333334,-42.32825333333333,0.09717168431567619,0.037004712864374234,0.5801886792452831,2.488260323501953,0.020518127587651806,-4.097576669700268,0.0004413862056906676,0.017939236682306365,0.19697402484145735,0.0021186537873152046,0.14351389345845092
ATR Extended Gap Up,month,Jan,464,23,0.6305175287356322,20.75350824729263,0.4822873969327455,0.5659947848761407,15.787760317648093,0.5691047041553456,1.314531499701934,0.6459498965261777,-1.4497626666666665,-29.544515942028987,0.08781934054597335,0.07954740270872622,0.0603448275862069,0.04521022357146072,0.9643476138864684,-1.101399971989656,0.2826273147801756,0.033513083053552314,0.99834198663406,0.4142324002885016,0.11093986114279387
ATR Extended Gap Up,month,Feb,441,23,1.4742554799697656,30.655744661093088,0.7634158123566035,0.49726251236399605,14.436306074697102,0.546801766555612,2.1235172281934522,0.6588412987171568,-1.7647279999999999,-24.04011515151515,0.1951580034993242,0.07560432024687125,0.034013605442176874,0.8395192874991663,0.41020846928144783,0.09091743773473986,0.9283809257512569,0.012671332579857244,0.8009507650186664,0.9456596904102381,0.05792609179363312
ATR Extended Gap Up,month,Mar,504,23,0.533888888888889,14.39862270382191,0.5886134764954946,0.5746493025583286,16.400629303193202,0.5562149296368888,0.8779311109128295,1.2075584672200421,-0.813316,-7.401834666666666,0.08077118329443331,0.08640493742499572,0.011904761904761904,-0.2860121378366387,0.7775446783262254,-4.22292053072117,0.0003500401229894502,0.264860807581536,0.9693359954277893,0.003953394330233791,0.45002898279340636
ATR Extended Gap Up,month,Apr,476,23,-0.02120448179271707,15.058974667435654,-0.022352830817164725,0.6237594673635741,16.337054192561414,0.6060991446000884,0.9217680549956371,-0.04008662302740346,-1.3062706666666668,-21.12586086956522,-0.003029769870367472,0.08160466312360706,0.04411764705882353,-1.7768861414498016,0.08941802581264179,-2.1799439897924047,0.0402447182032831,0.9853005859936973,0.6286373723627048,0.09791288583006844,0.9853005859936973
ATR Extended Gap Up,month,May,485,23,0.4509220618556701,8.633894368891093,0.8290772984028173,0.58202859636001,16.756458291115838,0.551394415864011,0.5152577125124781,2.9236361375391686,-0.6756906666666668,-5.392283333333333,0.06564750864865221,0.0831476084347677,0.020618556701030927,-0.4941212318757753,0.6261182020212086,-4.14896258055765,0.0004193463012778357,0.13451656938263995,0.9176694258631455,0.004473027213630247,0.2838151793567788
ATR Extended Gap Up,month,Jun,508,24,0.5861338582677165,8.8782736256288,1.0480175466734338,0.5696957996870109,16.770918563726056,0.5392453859468349,0.5293850537699041,3.677770528167359,-0.5814626666666667,-5.226997333333333,0.08937901164344164,0.08709069089662266,0.031496062992125984,-0.1411177061646632,0.8890056624822498,-3.588603106208602,0.001552791017106132,0.17221975675588314,0.980971765497655,0.009361178112514282,0.34806519260136376
ATR Extended Gap Up,month,Jul,508,24,0.12569580052493434,7.140225710290244,0.27945320710650756,0.6136211580594678,16.849162069621375,0.5781257168960063,0.4237733414152325,1.1426872045916683,-0.5623173333333333,-4.172997333333334,0.019167236733009952,0.08709069089662266,0.011811023622047244,-1.483187913779296,0.15159902987137863,-3.8092121709215783,0.000902435261385583,0.028450655210379608,0.6294536869468085,0.007092988863929241,0.10115788519246083
ATR Extended Gap Up,month,Aug,514,24,0.6519351491569387,12.416338906941899,0.8335105646866819,0.5633185686532557,16.559698515993382,0.5400101360982925,0.7497925698919083,2.062206546858261,-1.0635413333333334,-15.258928000000003,0.10058715899479838,0.08811932110406309,0.038910505836575876,-0.015307477781264156,0.9879188884798311,-1.905568256342002,0.06928167824267746,0.8796020524108435,0.99834198663406,0.13573553288361298,0.9330585307341546
ATR Extended Gap Up,month,Sep,471,23,0.3354530785562633,14.390359478235945,0.37005000065489035,0.5918291184881264,16.38953255809721,0.5732314795247406,0.8780213485177418,0.7366604405572731,-1.3877706666666667,-20.646811594202894,0.0474272250878073,0.08074747128407338,0.03397027600849257,-0.278130836858076,0.7835091711979102,-1.8202535515866707,0.08235338264552296,0.6547154886323131,0.9693359954277893,0.1581184946794041,0.7780964062898499
ATR Extended Gap Up,month,Oct,507,23,-0.050098619329388555,1.5595171082353134,-0.5099597320477315,0.6302640130178997,16.98365314338387,0.5891035896744757,0.09182459716229173,-9.444110848840758,-0.3182466666666666,-1.5429546666666665,-0.0076244539009908035,0.08691925252871592,0.005917159763313609,-2.935676766334877,0.007651286410165832,-6.340567028197836,2.217583021942088e-06,0.0047416270738262645,0.1632274434168711,0.00010357554286470734,0.02758764842953463
ATR Extended Gap Up,month,Nov,469,23,0.6555565031982942,21.635178390088296,0.4810053644693041,0.5637453641561024,15.678728621613708,0.5707848151411195,1.379906426868273,0.6118907516140274,-1.4921546666666667,-27.896788405797103,0.0922907125426389,0.0804045945482599,0.042643923240938165,0.2878733956381297,0.7761381250020127,-0.03198875858050011,0.974769459698446,0.057025516963388374,0.9693359954277893,0.9747694596984461,0.15414607018109147
ATR Extended Gap Up,month,Dec,486,23,1.5930801097393692,20.93295009982999,1.208112693778816,0.47823998503833914,15.739275064636574,0.48234905186768684,1.3299818456609038,1.8867467321554101,-1.4405426666666667,-20.185583333333334,0.23240684278127915,0.08331904680267443,0.05761316872427984,1.4956495929534326,0.1489530838943647,-0.30196143698184563,0.7655175599857328,0.02648057518554597,0.6294536869468085,0.8398821229557754,0.09592963086084577
ATR Extended Gap Up,quarter,Q1,1409,23,0.860033215046132,22.573196427776114,0.6048148334369247,0.47911377335744426,13.614400204852675,0.5586507851698392,1.6580382600865657,0.653277396713046,-1.7647279999999999,-19.90646095238095,0.36374852733973084,0.24155666038059317,0.0347764371894961,0.5822807510207139,0.5662978464103943,-0.01689837160457099,0.9866700094885614,0.0314332210878684,0.8714561992950888,0.9985592590918726,0.08746635433145988
ATR Extended Gap Up,quarter,Q2,1469,24,0.34469698207397326,11.191266665975771,0.48894330881143727,0.6473479071188513,17.612818493511714,0.5834574090247597,0.6354046440720693,1.3194567970090016,-1.3062706666666668,-10.218966210045663,0.1519967504217264,0.25184296245499743,0.031994554118447927,-0.7392428312682767,0.46723774245824967,-2.381896170716923,0.025880719386551742,0.06425589194787468,0.8226918127592371,0.16045311150468858,0.13707923615546597
ATR Extended Gap Up,quarter,Q3,1493,24,0.3730385353873632,11.645329887949092,0.5085131311394132,0.639271797235023,17.540637712816302,0.5785493857245688,0.6639057301457334,1.324482496679466,-1.3877706666666667,-12.982091891891892,0.16718162081561563,0.25595748328475915,0.02813127930341594,-0.8779331642376411,0.3890592189739419,-1.7665655899352608,0.09057136806762701,0.29934705393227296,0.8226918127592371,0.2520246763620926,0.4672734500406212
ATR Extended Gap Up,quarter,Q4,1462,23,0.7224985864113087,17.225146241062887,0.6658468574332684,0.5204971859986273,15.89352497207037,0.5198743946410685,1.0837838850307009,1.1823090794899158,-1.4921546666666667,-15.954164383561647,0.3170731014229273,0.2506428938796503,0.03488372093023256,0.9413113991986701,0.35676743414577405,-0.076148413661875,0.9399892753111527,0.4391903214867996,0.8154684209046265,0.9945636096536337,0.5980463952160675
ATR Extended Gap Up,half,MayOct,2993,24,0.35015026172179525,9.669064652412645,0.5748708157343158,0.8040092957746479,21.04513900634551,0.6064703058779983,0.4594440858526636,2.063099788124881,-1.3877706666666667,-8.451935570469798,0.3145836872067187,0.5131150351448655,0.02372201804209823,-1.0763904624318439,0.29291421985299493,-2.223015221206844,0.036324229863178195,4.18795427524262e-05,0.5804291901245839,0.18848508983320275,0.0001999216333372795
ATR Extended Gap Up,half,NovApr,2840,24,0.8040092957746479,21.04513900634551,0.6064703058779983,0.35015026172179525,9.669064652412645,0.5748708157343158,2.176543415819883,0.484707528814631,-1.7647279999999999,-21.16498028169014,0.6854163127932814,0.4868849648551346,0.04154929577464789,1.0763904624318439,0.29291421985299493,2.223015221206844,0.036324229863178195,4.18795427524262e-05,0.5804291901245839,0.18848508983320275,0.0001999216333372795
ATR Extended Gap Up,wom,W1,1394,24,0.6660199904351984,11.538551060304686,0.9162969875574423,0.5413278365998347,17.453561639031463,0.4923529751762168,0.661100083693003,2.8164775265584194,-1.3877706666666667,-8.886788405797102,0.2786923609295606,0.2389850848619921,0.029411764705882353,0.1269285927032527,0.9001000684592924,-1.8368830068665813,0.07918461671673352,0.19540635572255688,0.9771053877244017,0.34399205493942886,0.41686689220812134
ATR Extended Gap Up,wom,W2,1390,24,0.6807741007194245,18.59522776433171,0.5811681337849856,0.5368242478805613,15.426533028921924,0.5524132175305166,1.2054055003459991,0.8732113230500086,-1.7647279999999999,-21.549999999999997,0.284048729906062,0.23829933139036516,0.04244604316546763,0.5235734218305502,0.6055839180127387,0.19491268016037186,0.8471728219974655,0.0370244820822802,0.9471496995398632,0.9571010672232917,0.23695668532659328
ATR Extended Gap Up,wom,W3,1390,24,0.2682567865707434,15.774255228165911,0.26996168167897994,0.6658809813189286,16.378730918749323,0.6453816799642714,0.9630938627918085,0.43454191280776,-1.7426306666666664,-10.997105314009662,0.11192846413160715,0.23829933139036516,0.022302158273381296,-0.9846647958779687,0.3350344096615745,-1.8275352429096297,0.08062313787642864,0.0743263570752607,0.9323262304038236,0.34399205493942886,0.2559137366506404
ATR Extended Gap Up,wom,W4+,1659,24,0.6532859152099657,17.809296032973446,0.5823134379258958,0.5384726401533302,15.569133742623928,0.549034281756249,1.143884838256388,0.9275404234270925,-1.4405426666666667,-17.144230894308944,0.3253304450327703,0.2844162523572776,0.03496081977094635,0.48029241478529966,0.6355560501075675,-0.2120108577845382,0.8339661331812726,0.34728558516311003,0.9565022071891692,0.9571010672232917,0.5699045500112575
ATR Extended Gap Up,tom,TOM,1392,24,0.41232126436781597,14.515847404351076,0.4509138855182366,0.6209040606470014,16.740388363124914,0.588788394940969,0.8671153314654294,0.8836327525781662,-1.3877706666666667,-14.117431884057968,0.17228600259127372,0.23864220812617865,0.027298850574712645,-0.48511295639500585,0.632184834189935,-1.1273499226820722,0.27121869774732077,0.5568141654151059,0.7426959216132663,0.5424373954946415,0.6363590461886924
ATR Extended Gap Up,tom,mid,4441,24,0.6209040606470014,16.740388363124914,0.588788394940969,0.41232126436781597,14.515847404351076,0.4509138855182366,1.153249128129236,1.1316918675573198,-1.7647279999999999,-14.822805405405408,0.8277139974087265,0.7613577918738214,0.03400135104706147,0.48511295639500585,0.632184834189935,1.1273499226820722,0.27121869774732077,0.5568141654151059,0.7426959216132663,0.5424373954946415,0.6363590461886924
ATR Extended Gap Up,opex,opex,1362,24,0.4023656387665198,16.613538806506718,0.3844669442287365,0.622537269812868,16.121129725744883,0.6130136631170354,1.0305443284148676,0.6088972458252769,-1.7426306666666664,-12.494619607843138,0.16450269589483393,0.2334990570889765,0.028634361233480177,-0.9522047011881939,0.3508935621633197,-1.5376868839626168,0.13776992222207973,0.31603120109897553,0.9954186568276681,0.33064781333299137,0.523086125956925
ATR Extended Gap Up,opex,other,3148,24,0.8139832698009318,17.59939206513948,0.7342062596103851,0.28639359404096837,14.473638954016563,0.3141129453298059,1.215961799313468,1.9221555001438742,-1.7647279999999999,-15.865804670912953,0.7691751213388814,0.5396879821704097,0.035260482846251585,1.4731153931843533,0.1542745356349831,1.4737185895434592,0.15411324214418287,0.06245853688648238,0.8140153480172958,0.33624707376912627,0.33311219672790604
ATR Extended Gap Up,opex,post_opex,1323,24,0.1670028722600151,11.879841146365678,0.22315857398581074,0.6896765705838875,17.30678665913357,0.632600167820247,0.6864267400035321,0.5141882687455951,-1.4405426666666667,-14.003032323232322,0.06632218276628477,0.22681296074061374,0.02947845804988662,-1.3812440112706523,0.1804771021800553,-3.309753356975259,0.0030575507196764704,0.22848912584066894,0.8140153480172958,0.036690608636117644,0.42182607847508113
ATR Extended Gap Up,dow,Mon,1093,24,1.0562498322659346,19.004592379917398,0.8822839204325509,0.45926267229254575,15.528208597748794,0.46950482782045666,1.2238753916966696,1.536515656690596,-1.4921546666666667,-11.920893827160493,0.3465467587545941,0.1873821361220641,0.026532479414455627,0.9583947169211222,0.34783071250504916,-0.19247740360815663,0.8490576640690115,0.6478855099041871,0.7186447796207888,0.9594831940465003,0.8792016984531017
ATR Extended Gap Up,dow,Tue,1199,24,0.33531809841534616,12.939054550839874,0.41139093819579026,0.6321406416342972,16.98617223621182,0.5907700362824568,0.7617404539944476,0.9147404343096254,-1.3877706666666667,-17.157301694915255,0.12068441901020903,0.2055546031201783,0.03919933277731443,-0.6738957634771813,0.5070943125237626,-1.1324784720097774,0.26910193312429387,0.9816264437425016,0.7654253773943587,0.5481065335065607,0.9918865151420885
ATR Extended Gap Up,dow,Wed,1199,24,1.257576869613567,16.65527558878277,1.1986240517516762,0.39351563803769246,16.123160336689466,0.3874468132256084,1.0330031607316115,2.9966628256851604,-0.8751493333333334,-10.515613559322036,0.4526147994612534,0.2055546031201783,0.03836530442035029,0.8271582458753388,0.4166470191217454,-0.5829292320995324,0.5656131379231297,0.5324235279223875,0.7331189767582132,0.7938430005938663,0.8792016984531017
ATR Extended Gap Up,dow,Thu,1174,24,0.22255195911413964,10.3778169037866,0.3404283249927355,0.658963325463261,17.40398511839816,0.6010530589726351,0.5962896907338749,0.9504569130702828,-1.7426306666666664,-12.09156091954023,0.07842861485965641,0.20126864392250987,0.03151618398637138,-1.4007614659899903,0.17463329704987007,-4.265011884300243,0.0002908738437597201,0.14280580415754685,0.607420163651722,0.004653981500155522,0.7140290207877342
ATR Extended Gap Up,dow,Fri,1168,24,0.004921232876712391,20.331043170454162,0.003842505736608041,0.7128913469096106,15.036851279036615,0.7526043241628226,1.3520811500475742,0.0037785392471083607,-1.7647279999999999,-22.19008275862069,0.001725407914287232,0.20024001371506944,0.025684931506849314,-1.0313485451248154,0.3131013234088435,0.0356871180478716,0.9718397666890087,0.6776988090975267,0.7186447796207888,0.9817308631050834,0.8792016984531017
