strategy,dim,cell,N,n_years,avgR,sdR,win,R_per_risk,sum_pnl,avgR_rest,sdR_rest,R_per_risk_rest,flow_ratio,sig_share,sess_share,t_episode,p_episode,n_episodes,t_year,p_year,n_years_paired,worst_R,pnl_share,q_p_episode_fam_dim,bonf_p_episode_fam_dim,q_p_year_fam_dim,bonf_p_year_fam_dim,q_p_episode_fam_strat,bonf_p_episode_fam_strat,q_p_year_fam_strat,bonf_p_year_fam_strat,survives_fdr10_year,survives_bonf05_year,survives_fdr10_episode,survives_fdr10_strat_year
Sector BO,month,Dec,7,6,-0.29018412698412693,1.942944488709884,0.14285714285714285,-0.290184126984127,-5713.0,0.9563797979797979,3.4470263332842164,0.956379797979798,1.1536681887366818,0.0958904109589041,0.08311784263021796,-1.474812923223909,0.1907076943071169,7,-2.013370152528709,0.11435860561388106,5,-1.0467555555555557,-0.03325088030730728,0.8659160173944767,1.0,0.9970919107269445,1.0,0.3814153886142338,1.0,0.40442731099262985,1.0,False,False,False,False
Sector BO,quarter,Q1,12,7,1.1707555555555558,3.4384525856413526,0.3333333333333333,1.1707555555555555,39513.0,0.771159198542805,3.3495281453753165,0.7711591985428051,0.6920471249920108,0.1643835616438356,0.2375323236054673,0.35864796175541297,0.7273146031670497,11,0.6162704133329716,0.560354348585556,7,-1.1726222222222222,0.2299741000494718,0.9860913091107555,1.0,0.9946099448218757,1.0,0.7273146031670497,1.0,0.747139131447408,1.0,False,False,False,False
Sector BO,quarter,Q2,21,11,0.08279365079365082,2.8117240269293844,0.14285714285714285,0.0827936507936508,4890.0,1.1413675213675216,3.514495262725558,1.1413675213675214,1.1605454953759466,0.2876712328767123,0.24787587735500555,-1.2744805394429628,0.22069278482628474,17,-0.11701158888529058,0.9097351342868087,9,-1.139911111111111,0.028460844512993626,0.7975772600853813,1.0,0.9946099448218757,1.0,0.2942570464350463,0.882771139305139,0.9097351342868087,1.0,False,False,False,False
Sector BO,quarter,Q3,21,13,2.24695873015873,4.155180790054604,0.42857142857142855,2.24695873015873,132711.0,0.2673777777777777,2.8036509041136877,0.26737777777777777,1.1108787837336096,0.2876712328767123,0.2589582563723679,1.7294086231941819,0.10185006098649793,18,1.3161389969145696,0.21749710029278713,11,-1.1132444444444445,0.7724063673136804,0.7975772600853813,1.0,0.9946099448218757,1.0,0.26759888660483694,0.4074002439459917,0.43499420058557425,0.8699884011711485,False,False,False,False
Sector BO,quarter,Q4,19,10,-0.09916257309941523,2.352938363304871,0.15789473684210525,-0.0991625730994152,-5299.0,1.1661827160493825,3.5889167410480582,1.1661827160493827,1.0181526645023358,0.2602739726027397,0.2556335426671592,-1.591582666723778,0.13379944330241847,15,-1.6579040618335423,0.1413025411616301,8,-1.4016,-0.030841311876145854,0.7975772600853813,1.0,0.9946099448218757,1.0,0.26759888660483694,0.5351977732096739,0.43499420058557425,0.5652101646465204,False,False,False,False
Sector BO,half,MayOct,37,14,1.1988180180180183,3.669605001000794,0.2972972972972973,1.1988180180180181,124752.0,0.4648197530864196,2.977091372818465,0.46481975308641976,0.9821339269079535,0.5068493150684932,0.5160694495751754,0.8273416690061104,0.414799790042213,30,0.38341926148151956,0.7094340649040232,11,-1.2352,0.7260832872566423,0.6902117608838836,1.0,0.7094340649040232,1.0,0.414799790042213,0.829599580084426,0.7094340649040232,1.0,False,False,False,False
Sector BO,half,NovApr,36,16,0.4648197530864196,2.977091372818465,0.2222222222222222,0.46481975308641976,47063.0,1.1988180180180183,3.669605001000794,1.1988180180180181,1.019052598556938,0.4931506849315068,0.4839305504248245,-0.8273416690061102,0.4143670276958331,32,-0.38341926148151956,0.7094340649040232,11,-1.4016,0.27391671274335766,0.6902117608838836,1.0,0.7094340649040232,1.0,0.414799790042213,0.8287340553916662,0.7094340649040232,1.0,False,False,False,False
Sector BO,wom,W1,11,8,-0.5768080808080808,1.5574039159319812,0.09090909090909091,-0.5768080808080808,-17845.0,1.0876559139784945,3.5173485239767617,1.0876559139784947,0.6319196120666787,0.1506849315068493,0.2384558551902475,-2.4194844888128904,0.03864328736953539,10,-0.14537895682366103,0.8891725788002784,7,-1.1726222222222222,-0.1038617117248203,0.6386897770886495,1.0,0.9673153765071466,1.0,0.15457314947814155,0.15457314947814155,0.8891725788002784,1.0,False,False,False,False
Sector BO,wom,W2,17,8,2.138562091503268,4.173852913370883,0.4117647058823529,2.138562091503268,102250.0,0.44168253968253973,2.98031934974643,0.4416825396825397,0.9750924366186737,0.2328767123287671,0.23882526782415958,1.2291642100429083,0.24256819316734515,13,0.9622850387402667,0.3730677608356785,7,-1.2352,0.5951168407880569,0.6891788219173139,1.0,0.6428243243978917,1.0,0.3234242575564602,0.9702727726693806,0.497423681114238,1.0,False,False,False,False
Sector BO,wom,W3,20,14,1.4539555555555554,3.5747081106229284,0.35,1.4539555555555554,81785.0,0.6039748427672954,3.2567419709135583,0.6039748427672956,1.1498354040564935,0.273972602739726,0.23827114887329146,0.8786789175464765,0.39055254197718037,20,0.9605414612343804,0.35943206182677734,11,-1.3358222222222222,0.47600616942641794,0.7397016462658751,1.0,0.6428243243978917,1.0,0.39055254197718037,1.0,0.497423681114238,1.0,False,False,False,False
