label,days,armed_days,armed_share,n_episodes,hedge_total_usd,hedge_bps_per_armed_day,friction_usd,ep_mean_usd,ep_median_usd,ep_pos_share,t_clustered,sharpe_unhedged,sharpe_hedged,ann_unhedged_pct,ann_hedged_pct,vol_unhedged_pct,vol_hedged_pct,ann_hedged_equal_vol_pct,maxdd_unhedged_pct,maxdd_hedged_pct,worst_unhedged_pct,worst_hedged_pct,armed_sharpe_unhedged,armed_sharpe_hedged,armed_sd_unhedged_bps,armed_sd_hedged_bps,armed_spy_ann_pct,drift_component_usd,calm_carry_bps_per_day,calm_carry_usd_per_year,false_alarm_episodes,false_alarm_usd,loyo_years_with_arming,loyo_years_hedged_not_worse,loyo_years_hedge_pnl_pos,beta_mean_armed,vintage,target,instrument,window,arming,mult
live|subbook|IWM|63|dial50_nohyst,2527,349,0.13810842896715472,10,58551.891532192385,2.2369395045727742,370.9441821658022,5855.189153219237,5241.285617900045,0.8,2.3086727856827705,2.774985532961197,2.8681887007508573,35.815871867036016,36.59440117272721,12.906687779671694,12.758714642152814,37.01881605377352,-8.323155999999932,-7.8876973333333655,-4.886210666666667,-4.886210666666667,2.0819696358825883,2.75171024279617,81.51290744035079,74.57824184887957,-37.65456676483154,60288.545358429416,-1.4338353276980813,-27099.48769349374,3,-9423.077320586728,9,8,8,0.1541455531621615,live,subbook,IWM,63,dial50_nohyst,1.0
live|subbook|IWM|63|dial40_h35,2527,668,0.26434507320933914,13,62717.371103616,1.251843734603114,372.6314416824898,4824.413161816616,2432.8735903967113,0.6923076923076923,1.9112600295540316,2.774985532961197,2.873233146041384,35.815871867036016,36.6497870506852,12.906687779671694,12.755591066871721,37.08392313415998,-8.323155999999932,-7.8876973333333655,-4.886210666666667,-4.886210666666667,2.4470898142397193,2.807242258164081,83.01956966711474,79.4476308123353,-23.39311223477125,69847.61517888105,-1.709766308842904,-32314.583237130886,5,-2950.294826961616,10,6,7,0.15018494261555881,live,subbook,IWM,63,dial40_h35,1.0
live|subbook|IWM|63|vix25_h20,2527,586,0.23189552829442026,15,-135722.68244948727,-3.088115641626559,465.0476769566521,-9048.17882996582,-5438.761833513275,0.0,-2.1086053424671065,2.774985532961197,2.6932762519944697,35.815871867036016,34.01124894249989,12.906687779671694,12.62820660053469,34.761275688897,-8.323155999999932,-8.323155999999932,-4.886210666666667,-4.550257147691939,3.383261449173571,3.0863946268880245,105.92270303332134,100.22758561872146,48.82571795023978,-93703.53216852559,-0.2750233920150629,-5197.942109084688,14,-126703.60908780855,9,2,0,0.11003959551618057,live,subbook,IWM,63,vix25_h20,1.0
live|subbook|IWM|63|vixpct80_h60,2527,706,0.27938266719430155,21,-96175.01984852733,-1.8163365410486747,818.3693469707923,-4579.762849929872,-2976.0658424053813,0.09523809523809523,-3.3496564442756855,2.774985532961197,2.726388213321578,35.815871867036016,34.53709043968718,12.906687779671694,12.667708241597184,35.188641435518555,-8.323155999999932,-8.017105367928279,-4.886210666666667,-4.886210666666667,3.5758464121186706,3.437080364625659,95.30391766429987,90.76270853091671,31.936097564175725,-80579.4630550444,-0.5853012232368068,-11062.19311917565,16,-95042.07876305091,10,3,0,0.12008177506659176,live,subbook,IWM,63,vixpct80_h60,1.0
live|subbook|IWM|63|spydd5_h3,2527,796,0.3149980213692125,14,-76012.3179939866,-1.2732381573532097,440.4299745894644,-5429.4512852847565,-4250.2928618276,0.14285714285714285,-2.2167488539687237,2.774985532961197,2.7506803306675693,35.815871867036016,34.805181766284946,12.906687779671694,12.65329939587636,35.502172209610414,-8.323155999999932,-8.323155999999932,-4.886210666666667,-4.886210666666667,3.438032629346791,3.392385918588221,86.47331188830843,81.6788081735436,18.723227712325752,-53430.33554874304,-0.7681284578912094,-14517.627854143859,11,-76059.12194422084,9,2,2,0.12045737422714235,live,subbook,IWM,63,spydd5_h3,1.0
live|subbook|IWM|63|always,2527,2527,1.0,1,-175308.4748276495,-0.9249886549407705,14.309762526101258,-175308.4748276495,-175308.4748276495,0.0,,2.774985532961197,2.7207899992260227,35.815871867036016,33.48490045658527,12.906687779671694,12.307050697080868,35.116387034063465,-8.323155999999932,-8.254270247040463,-4.886210666666667,-4.550257147691939,2.774985532961197,2.7207899992260227,81.30449074897075,77.52713218366688,13.12668607570231,-134938.81305723012,,,1,-175308.4748276495,11,4,2,0.1366834153014869,live,subbook,IWM,63,always,1.0
live|subbook|IWM|126|dial50_h45,2527,392,0.15512465373961218,10,56774.957310360034,1.9311209969510217,316.0525204439801,5677.495731036003,4105.910268019963,0.6,1.559725236097982,2.774985532961197,2.8691236679640157,35.815871867036016,36.57077434650894,12.906687779671694,12.746322075569596,37.03088338367799,-8.323155999999932,-7.8876973333333655,-4.886210666666667,-4.886210666666667,1.8402397118732765,2.422905742407994,80.58551003581582,73.85852783883577,-31.860576197504997,57645.467365949386,-1.2746997671385891,-24091.825598919335,3,-9196.284762524547,9,8,7,0.15508319841137874,live,subbook,IWM,126,dial50_h45,1.0
live|subbook|IWM|126|dial65_h60,2527,153,0.060546102097348634,7,45245.37340651628,3.9429519308510916,185.71309121044123,6463.62477235947,5965.8929378969515,0.7142857142857143,1.9491493718771387,2.774985532961197,2.8385194668603853,35.815871867036016,36.417472399865034,12.906687779671694,12.8297419922737,36.635884515287145,-8.323155999999932,-8.323155999999932,-4.886210666666667,-4.886210666666667,2.0446118373400926,3.202235746785472,78.19334523861804,69.4725430326309,-49.182572029531,41268.08416710259,-1.080883891491094,-20428.70554918168,2,-4645.472818415592,6,5,5,0.18426842233672666,live,subbook,IWM,126,dial65_h60,1.0
live|subbook|IWM|126|dial50_nohyst,2527,349,0.13810842896715472,10,65000.43742187956,2.483302289279066,332.90080864732204,6500.043742187954,4599.2893114978415,0.8,1.8007600157842192,2.774985532961197,2.8785457035761217,35.815871867036016,36.680143611149646,12.906687779671694,12.742595528561724,37.152490655572386,-8.323155999999932,-7.8876973333333655,-4.886210666666667,-4.886210666666667,2.0819696358825883,2.8342913017371307,81.51290744035079,73.78514686225884,-37.65456676483154,60812.88454695239,-1.2999916046084445,-24569.841327099602,3,-7365.113273087465,9,8,7,0.15548618186333438,live,subbook,IWM,126,dial50_nohyst,1.0
live|subbook|IWM|126|dial40_h35,2527,668,0.26434507320933914,13,57569.567207808235,1.1490931578404837,318.18577182009517,4428.42824675448,2849.2888481972977,0.6153846153846154,1.757690067049769,2.774985532961197,2.8739243480610317,35.815871867036016,36.58133979666892,12.906687779671694,12.728706592903006,37.09284426282026,-8.323155999999932,-7.8876973333333655,-4.886210666666667,-4.886210666666667,2.4470898142397193,2.8097472951100806,83.01956966711474,78.79627896559221,-23.39311223477125,67567.25128105858,-1.4696650052852136,-27776.668599890534,5,-6002.46376722819,10,6,6,0.14528174985428885,live,subbook,IWM,126,dial40_h35,1.0
