date,event,detail,ref_period,time_et,source
2020-12-11,ppi,Producer Price Index release,November 2020,08:30,bls:sched2020
2020-12-16,fomc_decision,December 15-16 Meeting - 2020,,14:00,fed:fomchistorical2020
2020-12-16,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2020-12-18,opex,quad witching,,16:00,computed
2020-12-18,quad_witching,quad witching,,16:00,computed
2021-01-06,fomc_minutes,minutes of 2020-12-16 meeting,,14:00,fed:fomchistorical2020
2021-01-08,nfp,Employment Situation release,December 2020,08:30,bls:sched2021
2021-01-13,cpi,Consumer Price Index release,December 2020,08:30,bls:sched2021
2021-01-15,opex,monthly options expiration,,16:00,computed
2021-01-15,ppi,Producer Price Index release,December 2020,08:30,bls:sched2021
2021-01-20,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2021-01-27,fomc_decision,January 26-27 Meeting - 2021,,14:00,fed:fomccalendars
2021-02-05,nfp,Employment Situation release,January 2021,08:30,bls:sched2021
2021-02-10,cpi,Consumer Price Index release,January 2021,08:30,bls:sched2021
2021-02-17,fomc_minutes,minutes of 2021-01-27 meeting,,14:00,fed:fomccalendars
2021-02-17,ppi,Producer Price Index release,January 2021,08:30,bls:sched2021
2021-02-17,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2021-02-19,opex,monthly options expiration,,16:00,computed
2021-03-05,nfp,Employment Situation release,February 2021,08:30,bls:sched2021
2021-03-10,cpi,Consumer Price Index release,February 2021,08:30,bls:sched2021
2021-03-12,ppi,Producer Price Index release,February 2021,08:30,bls:sched2021
2021-03-17,fomc_decision,March 16-17* Meeting - 2021,,14:00,fed:fomccalendars
2021-03-17,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2021-03-19,opex,quad witching,,16:00,computed
2021-03-19,quad_witching,quad witching,,16:00,computed
2021-04-02,nfp,Employment Situation release,March 2021,08:30,bls:sched2021
2021-04-07,fomc_minutes,minutes of 2021-03-17 meeting,,14:00,fed:fomccalendars
2021-04-09,ppi,Producer Price Index release,March 2021,08:30,bls:sched2021
2021-04-13,cpi,Consumer Price Index release,March 2021,08:30,bls:sched2021
2021-04-16,opex,monthly options expiration,,16:00,computed
2021-04-21,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2021-04-28,fomc_decision,April 27-28 Meeting - 2021,,14:00,fed:fomccalendars
2021-05-07,nfp,Employment Situation release,April 2021,08:30,bls:sched2021
2021-05-12,cpi,Consumer Price Index release,April 2021,08:30,bls:sched2021
2021-05-13,ppi,Producer Price Index release,April 2021,08:30,bls:sched2021
2021-05-19,fomc_minutes,minutes of 2021-04-28 meeting,,14:00,fed:fomccalendars
2021-05-19,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2021-05-21,opex,monthly options expiration,,16:00,computed
