Strategy,Ticker,Entry Date,Direction,tranches,shares,ledger_entry_px,ledger_exit_px,ledger_R,ATR,stop_atr,entry_side,exit_side,dir,entry_session,live_entry_px,live_entry_qty,live_exit_px,ambiguous,live_R,entry_slip_bps,exit_slip_bps,qty_ratio,diff
LT Trend ST OS,AKAM,2026-06-11,Long,1,436.0,128.0371437072754,133.5,0.7065774783405073,7.7314300537109375,1.0,BUY,SELL,1.0,2026-06-11,128.04,100.0,133.3953,False,0.6926661643184056,0.2230831336828014,7.8426966292141,0.22935779816513763,-0.013911314022101773
Overbot Vol Spike,FWRD,2026-06-12,Short,2,4177.0,13.765892624855042,13.770000457763672,-0.005084850757209389,0.8078570365905762,1.0,SELL,BUY,-1.0,2026-06-12,13.77,3800.0,13.774360000000001,False,-0.005396994520716882,-2.983733243380083,3.1659710177218336,0.9097438352884846,-0.0003121437635074933
Overbot Vol Spike,FUN,2026-06-18,Short,2,515.0,25.891964231218612,23.797106879098077,1.599999206262308,1.3092858450753349,1.0,SELL,BUY,-1.0,2026-06-18,25.89,387.0,24.208182299682036,False,1.2845305756904402,0.7586258041570754,172.74176338848258,0.7514563106796116,-0.3154686305718679
LT Trend ST OS,CVE,2026-06-18,Long,1,3084.0,25.326454298836843,25.670000076293945,0.313974413746876,1.094184330531529,1.0,BUY,SELL,1.0,2026-06-18,25.202195251000003,3032.0,25.645,False,0.40468935319599464,-49.06294673966557,9.739024627831274,0.9831387808041504,0.09071493944911863
LT Trend ST OS,PBA,2026-06-18,Long,1,3286.0,45.94324745450701,46.41999816894531,0.4642109612680536,1.0270132337297713,1.0,BUY,SELL,1.0,2026-06-18,45.874737771,3230.0,46.441349845,False,0.5517086395685976,-14.911806914573916,-4.599671886452029,0.9829580036518564,0.087497678300544
Overbot Vol Spike,FUN,2026-06-17,Short,2,2735.0,25.925178698131017,23.951464142118184,1.599999525900849,1.2335715975080217,1.0,SELL,BUY,-1.0,2026-06-17,25.92,1500.0,24.208182299682036,False,1.3876922132254539,1.9975554233647248,107.18265741108452,0.5484460694698354,-0.21230731267539515
Overbot Vol Spike,WDC,2026-06-18,Short,2,71.0,799.7567400251116,723.52827843526,1.6056227448851255,47.475620814732146,1.0,SELL,BUY,-1.0,2026-06-18,798.66,71.0,681.05,False,2.4772714496764303,13.713420221719355,-587.0990768615947,1.0,0.8716487047913049
Overbot Vol Spike,XBI,2026-06-24,Short,2,153.0,150.61991037641252,155.3800048828125,-1.0818714603502557,4.399870736258371,1.0,SELL,BUY,-1.0,2026-06-24,150.62000000000003,115.0,155.4193,False,-1.0907820451291852,-0.00595031475514828,2.5289687187955123,0.7516339869281046,-0.008910584778929476
Overbot Vol Spike,GPC,2026-06-25,Short,2,207.0,113.2616146632603,117.18000030517578,-1.203622007992819,3.255486624581473,1.0,SELL,BUY,-1.0,2026-06-25,113.25999999999999,155.0,116.89499999999998,False,-1.116576542675032,0.14256050164153428,-24.32158255961458,0.748792270531401,0.08704546531778701
Overbot Vol Spike,HRL,2026-06-25,Short,2,1210.0,25.793944188526698,25.998279571533203,-0.3664541466133342,0.5576004300798688,1.0,SELL,BUY,-1.0,2026-06-25,26.1,897.0,26.285,False,-0.3317787971818816,-118.65413417830023,110.28438542554228,0.7413223140495868,0.03467534943145262
Overbot Vol Spike,XBI,2026-06-25,Short,2,148.0,153.2907669884818,158.30999755859375,-1.106928372630422,4.534356798444476,1.0,SELL,BUY,-1.0,2026-06-25,153.29,112.0,158.185,False,-1.079535691077344,0.05003487795659962,-7.895746353447046,0.7567567567567568,0.027392681553078058
Overbot Vol Spike,FBIN,2026-06-25,Short,2,333.0,46.25837666647775,50.675376892089844,-2.181600130702916,2.024657658168248,1.0,SELL,BUY,-1.0,2026-06-25,46.53,249.0,50.83,False,-2.1238158375329,-58.718734442553014,30.512473195693268,0.7477477477477478,0.0577842931700161
Overbot Vol Spike,HNI,2026-06-25,Short,2,421.0,38.55867780957903,39.62047576904297,-0.6623906245551543,1.6029766627720423,1.0,SELL,BUY,-1.0,2026-06-25,38.83,314.0,39.886815286598726,False,-0.6592830146205415,-70.36605138819455,67.22269543362181,0.7458432304038005,0.0031076099346127872
Overbot Vol Spike,JACK,2026-06-29,Short,2,644.0,14.745357275009155,17.40999984741211,-2.544678407699233,1.0471429824829102,1.0,SELL,BUY,-1.0,2026-06-29,14.75,483.0,17.268,False,-2.4046381842043196,-3.148601220204645,-81.56223357647882,0.75,0.14004022349491319
Overbot Vol Spike,AMAT,2026-06-30,Short,2,13.0,732.9396302359446,655.0033826304007,1.6153275257574062,48.24624851771763,1.0,SELL,BUY,-1.0,2026-06-30,733.73,10.0,649.9069230769231,False,1.7374009274999744,-10.783558856013565,-77.80814097494995,0.7692307692307693,0.1220734017425682
