combo,k,N,dates,raw_mean%,exc_mean%,exc_med%,hit_exc%,t_clust,t_nonovl,exc_pre16%,exc_post16%
mom_10dec        mom>90,21,8656,4203,1.5376572497189045,0.1619103946723044,-0.10773045942187309,49.44547134935305,1.6251571123775599,-0.29385378319182076,0.39372951723635197,-0.0692669244017452
mom_10dec        mom>90,63,8634,4186,4.775433242321014,0.7731597870588303,-0.7814247161149979,47.50984479962938,3.2003925414973065,1.3234795948631772,0.585638452321291,0.9619887918233871
trendy_compress  ac63>90 sigmad<20,5,8391,3981,0.040870168595574796,-0.07313548703677952,-0.13513881713151932,48.325586938386365,-1.3418576473868091,-1.152864567235815,0.07636333466507494,-0.21241307258605957
trendy_compress  ac63>90 sigmad<20,21,8314,3951,0.9051508270204067,-0.28469685930758715,-0.5912331864237785,46.560019244647584,-2.1772654829814715,-0.5464331745670193,-0.12050314107909799,-0.4376011434942484
trendy_compress  ac63>90 sigmad<20,63,8257,3932,3.9036136120557785,-0.331645249389112,-1.1292368173599243,46.08211214726899,-1.5493035000281747,0.00720190225357139,-0.14554342487826943,-0.5067665595561266
dvol_confirm     mom>70 dvroc>90,5,15837,4947,0.4626922309398651,0.1446890295483172,-0.0044949352741241455,49.94632821872829,2.260347665569171,0.05097908766827442,0.14300718903541565,0.14626377960667014
dvol_confirm     mom>70 dvroc>90,21,15692,4923,1.7574787139892578,0.31968941912055016,-0.15234313905239105,49.15880703543207,2.357839690724127,0.5183662685750486,0.4555895458906889,0.1920522074215114
dvol_confirm     mom>70 dvroc>90,63,15744,4893,4.678035154938698,0.5830505397170782,-0.8073389530181885,47.827743902439025,1.7767043775001279,2.09044686396884,0.5281895864754915,0.6352329161018133
rvol_expand      mom>70 rvroc>90,5,19836,5112,0.39327950216829777,0.08731972775422037,-0.02517048269510269,49.65214761040532,1.4622954447706924,0.7322489381052999,-0.047321399324573576,0.20884026307612658
rvol_expand      mom>70 rvroc>90,21,19669,5088,1.4919081702828407,0.1089109224267304,-0.26125870645046234,48.57389801210026,0.5122274570969814,-0.3226941186204586,0.014537060633301735,0.19464960787445307
rvol_expand      mom>70 rvroc>90,63,19578,5064,4.16717454791069,-0.03859928983729333,-1.1947623454034328,46.24067831239146,0.04407792429416012,-2.2319482725008397,-0.3134878585115075,0.21439529955387115
consol_user+BO21,5,2041,1073,0.1477852463722229,-0.18090218072757125,-0.06390777416527271,48.89759921607055,-1.8153611967026713,-0.8940409070306046,-0.13147511053830385,-0.22828953806310892
consol_user+BO21,21,2054,1083,1.0410504415631294,-0.6392304785549641,-0.3664719173684716,47.41966893865628,-2.751693711132242,0.5280844239121213,-0.1840395969338715,-1.0744797997176647
consol_user+BO21,63,2024,1069,4.086561128497124,-0.6992226000875235,-1.0597608983516693,45.99802371541502,-0.9717531120549692,-1.2973645075710467,0.32734221313148737,-1.6840489581227303
consol_no_ac+BO21,5,10192,1920,0.15024150488898158,-0.2310940297320485,-0.12853965163230896,47.586342229199374,-2.815159364364821,-2.027746277515409,-0.22548583801835775,-0.23635877296328545
consol_no_ac+BO21,21,10273,1948,1.2179602868855,-0.6800578441470861,-0.3599898889660835,47.34741555533924,-4.78262483857794,-0.5109669616233651,-0.2461993834003806,-1.0847747325897217
consol_no_ac+BO21,63,10213,1923,3.3776216208934784,-1.4220531098544598,-1.2488409876823425,44.70772544795849,-6.033432136121358,-1.244458574296047,-0.24795809295028448,-2.5271885097026825
consol_sigma+BO21,5,8778,1803,0.078181381104514,-0.2037513069808483,-0.06659426726400852,48.929141034404196,-3.615915750604547,-2.246907749110638,-0.16270760679617524,-0.2420996781438589
consol_sigma+BO21,21,8809,1820,1.1930075474083424,-0.7094844710081816,-0.44653788208961487,46.48654784879101,-4.6125396906372576,-1.713036478322432,-0.35023167729377747,-1.0395494289696217
consol_sigma+BO21,63,8790,1797,2.905615232884884,-1.6851319000124931,-1.4489554800093174,44.19795221843004,-7.230861654781063,-0.3913501870030102,-0.7132559549063444,-2.596171759068966
coil_sigma+BO21,5,4356,1410,0.1114160637371242,-0.20725305657833815,-0.08582047885283828,48.921028466483016,-2.435912498845875,-1.0484595242564754,-0.06744312704540789,-0.33188601955771446
coil_sigma+BO21,21,4367,1419,1.5792731195688248,-0.2121922792866826,-0.3366515040397644,48.202427295626286,-0.6049226234324478,1.2350098339891769,0.04246234311722219,-0.4350287839770317
coil_sigma+BO21,63,4347,1406,4.206004738807678,0.014874851331114769,-1.075795292854309,46.67586841499885,0.11057262225860226,0.35307345760840775,-0.02450633328408003,0.05044536083005369
