month_pnl,year_pnl
24181.482610396,212592.09808896267
24186.80970777786,212594.0457960624
24199.46717957087,212625.42862836816
24218.433725731724,212626.81983023882
24224.734122455087,212691.3384653331
24225.302453313554,212702.39195280417
24229.675630671612,212721.23047605585
24233.592438374257,212740.81643825772
24235.88497516086,212754.49436736974
24238.494473235944,212769.63274788857
24240.60265094892,212777.5729091423
24242.810731887817,212784.03229055234
24253.897377422858,212827.36763908173
24255.85203831536,212845.55651138525
24258.84757443838,212907.8478197881
24266.562238148275,212963.75373329455
24268.350369044703,212977.97799250064
24269.92238463675,212986.64800017228
24273.02721473149,212989.03377580649
24275.77391896929,212991.17551720148
24276.561162114136,213023.64349071478
24281.055176768976,213064.63399602685
24282.356472287895,213069.98538562228
24289.853356906344,213078.9092663442
24296.952970589904,213098.54075838847
24303.430389625682,213103.46304315323
24309.543586356296,213113.89625561237
24311.133504663216,213167.08652571274
24319.777089255203,213174.80074177473
24324.407196215216,213193.63304236956
24330.79271846159,213202.44457519052
24334.072459493378,213205.2366715329
24342.486818041078,213207.06521659237
24345.517213276453,213212.01223978828
24360.63870443617,213228.2017428534
24361.108739682604,213277.63488318244
24366.442757947116,213310.89364144625
24366.5502219541,213361.97035450587
24369.684676851546,213373.61814812256
24374.06142970493,213388.88187737128
24387.167510543575,213407.38018832885
24402.407669748573,213419.89741536547
24407.75487281595,213435.96664782922
24414.416606392235,213482.684088707
24415.369606086188,213506.93028873217
24416.153654507212,213552.93138153202
24455.83079457281,213558.91799802444
24464.303564446316,213571.25885656045
24467.245276962007,213572.7274017334
24467.49021169117,213644.59687181038
24476.41609464374,213655.73006573733
24478.796800885873,213683.06259507802
24491.42731578009,213742.18335366252
24494.729279143492,213786.23641453468
24502.847999351347,213803.98961056984
24512.543958561757,213804.12625625322
24520.203653233373,213805.3891061799
24521.987617492676,213860.92095106846
24527.33863793099,213884.24247707627
24531.11437835008,213911.23533873894
24546.741883686613,213915.6900351389
24564.369224548347,213919.5081073386
24567.36411055498,213948.05485955309
24582.514292648862,213952.0745376519
24585.51489184585,214028.44867277145
24588.513098716703,214042.23340656084
24596.196598938535,214055.24110565873
24598.93105578422,214087.39516366378
24608.336909736856,214141.60205780613
24610.811377048525,214172.42732080392
24612.12731000357,214207.479130813
24615.883068902167,214208.93375251963
24617.843389068334,214232.9410030331
24621.099224090565,214256.86515782567
24630.678566115257,214285.69621125277
24638.435553329342,214290.53321581232
24648.60447495319,214364.06272077563
24651.32471493311,214375.97990810865
24653.68151661325,214393.69853418204
24654.35220726899,214437.41197933463
24663.860943079017,214439.40508103368
24667.756012865502,214439.52315131243
24669.59269687107,214499.62563742907
24672.820560319076,214514.48185632055
24676.113261869967,214534.30800524782
24690.790935652585,214554.8615776301
24693.654019236554,214589.73938960687
24697.98391222956,214631.07849616674
24711.729719519604,214671.8107994455
24730.973948001854,214676.2309785827
24738.56248889649,214690.8633694819
24739.38292195114,214725.59711977417
24740.786303605346,214738.27179316105
24747.403187734744,214750.71889716384
24750.324360098188,214830.0793918371
24755.941835335325,214849.813142538
24765.279067993164,214858.0040628995
24767.891629866193,214888.34236593757
24771.810822793428,214904.76225589003
24773.58354851177,214923.496906221
24776.955693585503,214953.71073274102
24785.490894232484,214970.6275184154
24792.5880196435,214984.1184256417
24803.249911989493,214988.11212554996
24823.313499450687,214997.90159743174
24830.39701254025,215006.05959343907
24841.49800079211,215007.44460158685
24841.983350549428,215019.43143233232
24843.151426110962,215076.8675557801
24851.188974312365,215117.21150712465
24856.317152840755,215153.06392620294
24864.3592961686,215157.2189226746
24865.931132452835,215211.37065282895
24866.301651750313,215253.75165254733
24871.794269936436,215280.40016460425
24889.668537105896,215296.37962932233
24890.392668179105,215309.2569198438
24899.05447944575,215326.71268016938
24910.173919081673,215358.72604928707
24910.477544154463,215377.50390619045
24912.441418647766,215400.4981489352
24932.98889902661,215406.43153088438
24935.92337519782,215451.85866674362
24937.82021304543,215452.00923132888
24939.244789634417,215460.98224369125
24948.541612488894,215494.21519333983
24948.988799810406,215505.19891147094
24951.482181855576,215511.71868727886
24953.840135710583,215544.17688473628
24969.320177725396,215553.32741834433
24972.417988640922,215558.042105283
24980.75788579668,215571.22709121014
24981.044819184724,215586.46064136713
24991.356693233756,215598.00612914562
24994.331398010254,215606.18309303693
25008.457336698266,215611.1761714391
25010.684721946716,215636.74364674097
