signal_date,ticker,t_clean,tier,close,atr,nearest_type,nearest_level,nearest_date,nearest_source_age_bars,high_age,low_age,high_expired,low_expired,distance_atr,matched_rule,proposed_action,proposed_offset_atr,affected,staged_with,staged_without
2021-04-09,HP,HP,Overflow,21.115406036376953,1.0567046574183874,High,22.293127059936523,2020-06-08,211.0,211.0,130.0,False,False,-1.1145224120018884,default,stage,0.25,False,True,True
2021-04-12,HP,HP,Overflow,21.205366134643555,1.0082210813249861,High,22.293127059936523,2020-06-08,212.0,212.0,131.0,False,False,-1.0788912724017363,default,stage,0.25,False,True,True
2021-04-20,HP,HP,Overflow,20.853715896606445,0.9106698717389788,High,22.293127059936523,2020-06-08,218.0,218.0,137.0,False,False,-1.580606988327654,default,stage,0.25,False,True,True
2021-04-21,HP,HP,Overflow,21.074522018432617,0.9457180840628487,High,22.293127059936523,2020-06-08,219.0,219.0,138.0,False,False,-1.288550004530655,default,stage,0.25,False,True,True
2021-07-19,HP,HP,Overflow,22.968976974487305,1.1308879852294922,Low,20.657445907592773,2021-04-22,60.0,92.0,60.0,False,False,2.043996485138579,default,stage,0.25,False,True,True
2021-08-02,HP,HP,Overflow,23.117477416992188,1.1874607631138392,Low,20.657445907592773,2021-04-22,70.0,102.0,70.0,False,False,2.0716739329967875,default,stage,0.25,False,True,True
2021-08-04,HP,HP,Overflow,21.657169342041016,1.1998364584786552,Low,20.657445907592773,2021-04-22,72.0,104.0,72.0,False,False,0.8332164166071864,default,stage,0.25,False,True,True
2021-08-05,HP,HP,Overflow,21.83867835998535,1.1568168912615096,Low,20.657445907592773,2021-04-22,73.0,105.0,73.0,False,False,1.0211058131286823,default,stage,0.25,False,True,True
2021-08-20,HP,HP,Overflow,20.090269088745117,0.9805081231253487,Low,20.657445907592773,2021-04-22,84.0,46.0,84.0,False,False,-0.578451932697704,default,stage,0.25,False,True,True
2018-07-17,HTHT,HTHT,Overflow,35.625396728515625,1.7148737226213728,High,36.30035400390625,2018-01-22,122.0,122.0,77.0,False,False,-0.3935900740019963,default,stage,0.25,False,True,True
2026-08-18,HUN,HUN,Overflow,10.050000190734863,0.5357142857142857,Low,10.351799011230469,2026-03-20,103.0,44.0,103.0,False,False,-0.5633577982584635,default,stage,0.25,False,True,True
2017-08-09,HWC,HWC,Overflow,35.35975646972656,0.6714662824358258,Low,33.53815841674805,2017-04-13,81.0,42.0,81.0,False,False,2.7128660077620674,default,stage,0.25,False,True,True
2017-08-10,HWC,HWC,Overflow,34.14449691772461,0.6854678562709263,Low,33.53815841674805,2017-04-13,82.0,43.0,82.0,False,False,0.8845615376848707,default,stage,0.25,False,True,True
2017-09-07,HWC,HWC,Overflow,32.4789924621582,0.7331055232456752,Low,33.53815841674805,2017-04-13,101.0,62.0,101.0,False,False,-1.444766027543487,default,stage,0.25,False,True,True
2021-04-12,IBN,IBN,Overflow,13.8954496383667,0.37850236892700195,Low,8.992879867553711,2020-09-24,136.0,292.0,136.0,True,False,12.95254712595603,default,stage,0.25,False,True,True
2009-11-20,IMO,IMO,Overflow,27.95229721069336,0.6493904931204659,High,31.16493034362793,2009-06-01,122.0,122.0,190.0,False,False,-4.9471514704460064,default,stage,0.25,False,True,True
2025-01-07,INGR,INGR,Overflow,128.36569213867188,2.10943603515625,Low,127.6576156616211,2024-10-31,45.0,42.0,45.0,False,False,0.335670987529296,default,stage,0.25,False,True,True
2026-07-17,INOD,INOD,Overflow,60.810001373291016,4.669285910470145,Low,34.45000076293945,2026-03-30,75.0,193.0,75.0,False,False,5.645402983621837,default,stage,0.25,False,True,True
2026-07-24,INOD,INOD,Overflow,55.88999938964844,3.90642820085798,Low,34.45000076293945,2026-03-30,80.0,198.0,80.0,False,False,5.488389271304169,default,stage,0.25,False,True,True
2026-07-29,INOD,INOD,Overflow,55.400001525878906,3.8171424865722656,Low,34.45000076293945,2026-03-30,83.0,201.0,83.0,False,False,5.488398936281843,default,stage,0.25,False,True,True
2024-10-31,JHX,JHX,Overflow,31.899999618530273,1.030714443751744,Low,30.270000457763672,2024-06-11,99.0,165.0,99.0,False,False,1.5814265247254071,default,stage,0.25,False,True,True
2024-11-01,JHX,JHX,Overflow,31.270000457763672,0.9950001580374581,Low,30.270000457763672,2024-06-11,100.0,166.0,100.0,False,False,1.005024965998401,default,stage,0.25,False,True,True
2018-02-27,KBH,KBH,Overflow,25.77110481262207,0.9457759857177734,High,21.689342498779297,2017-07-10,160.0,160.0,109.0,False,False,4.3157813007326675,above_high_4_5,stage,0.75,True,True,True
