Date,Entry Date,Exit Date,Exit Type,Time Stop,Strategy,Ticker,Action,Entry Criteria,Price,Exit Price,Shares,PnL,ATR,stop_atr,tgt_atr,T+1 Open,Signal Close,Range %,Equity at Signal,Risk $,Risk bps,Size_Mult,Tranche,Entry Offset ATR,Pivot Rule Version,Pivot Nearest Type,Pivot Level,Pivot Date,Pivot Source Age Bars,Pivot High Source Age Bars,Pivot Low Source Age Bars,Pivot High Expired,Pivot Low Expired,Pivot Max Source Age Bars,Pivot Distance ATR,Pivot Matched Rule,R,Tier,censored
2025-01-06,2025-01-08,2025-01-16,Target,2025-01-23,Oversold Low Volume,PNW,BUY,Limit Order -0.25 ATR (Persistent),78.02940314156669,81.23375429425921,1228,3935.0,1.281740461077009,1.25,2.5,78.33097839355469,78.34983825683594,17.430613805236163,1072037.171906812,1968.75,52.5,0.5,,0.25,olv_close_pivot_40_v2_20260901,Low,79.8003158569336,2024-10-10,59.0,266.0,59.0,True,False,252.0,-1.1316468849542773,default,1.9987301587301587,Liquid,False
2025-01-07,2025-01-08,2025-01-16,Target,2025-01-24,Oversold Low Volume,PNW,BUY,Limit Order -0.25 ATR (Persistent),78.11410522460938,81.24436814444405,1200,3757.0,1.2521051679338728,1.25,2.5,78.11410522460938,78.45355987548828,35.04235676498047,1073086.3791446006,1878.8343558282209,52.5,0.7,,0.25,olv_close_pivot_40_v2_20260901,Low,79.8003158569336,2024-10-10,60.0,267.0,60.0,True,False,252.0,-1.0755933414663763,default,1.999644081632653,Liquid,False
2025-01-07,2025-01-08,2025-01-16,Target,2025-01-24,Oversold Low Volume,LNT,BUY,Limit Order -0.25 ATR (Persistent),54.45979928970337,56.730931758880615,844,1917.0,0.9084529876708984,1.25,2.5,54.61063766479492,54.686912536621094,34.09098142633051,1073086.3791446006,958.5889570552147,37.5,0.5,,0.25,olv_close_pivot_40_v2_20260901,Low,53.61910629272461,2024-11-07,40.0,267.0,40.0,True,False,252.0,1.175411670596337,default,1.9998144,Overflow,False
2025-01-10,2025-01-13,2025-01-17,Target,2025-01-28,Oversold Low Volume,PM,BUY,Limit Order -0.25 ATR (Persistent),111.68125792912075,116.37929875510079,595,2795.0,1.8792163303920202,1.25,2.5,112.00746154785156,112.15106201171875,4.644726642453381,1064091.2225343331,1399.2537313432836,37.5,0.5,,0.25,olv_close_pivot_40_v2_20260901,Low,81.11698150634766,2024-02-15,226.0,253.0,226.0,True,False,252.0,16.51437357342309,default,1.9974933333333333,Overflow,False
2025-01-07,2025-01-08,2025-01-21,Target,2025-01-24,Oversold Low Volume,EMR,BUY,Limit Order -0.25 ATR (Persistent),117.022550037929,124.08479990277972,380,2682.0,2.8248999459402904,1.25,2.5,117.55317687988281,117.72877502441406,23.076923076923077,1073086.3791446006,1342.0245398773006,52.5,0.5,,0.25,olv_close_pivot_40_v2_20260901,High,114.90701293945312,2024-07-16,121.0,121.0,84.0,False,False,252.0,0.9988892134095361,default,1.9984731428571427,Liquid,False
2025-01-08,2025-01-10,2025-01-21,Target,2025-01-27,Oversold Low Volume,EMR,BUY,Limit Order -0.25 ATR (Persistent),115.54354095458984,122.46643039158413,796,5511.0,2.7691557747977122,1.25,2.5,115.54354095458984,117.35807037353516,89.52896088049593,1091779.9420882806,2756.25,52.5,0.7,,0.25,olv_close_pivot_40_v2_20260901,High,114.90701293945312,2024-07-16,122.0,122.0,85.0,False,False,252.0,0.8851280438570062,default,1.999455782312925,Liquid,False
2025-01-07,2025-01-08,2025-01-22,Target,2025-01-24,Oversold Low Volume,PG,BUY,Limit Order -0.25 ATR (Persistent),154.31748935154505,159.88298279898507,138,766.0,2.2261973789760043,1.25,2.5,154.5763702392578,154.87403869628906,29.946460440214157,1073086.3791446006,383.43558282208585,52.5,0.1429,,0.25,olv_close_pivot_40_v2_20260901,Low,153.4532928466797,2024-07-31,110.0,82.0,110.0,False,False,252.0,0.6381940177572587,default,1.9977280000000002,Liquid,False
2025-01-07,2025-01-08,2025-01-24,Time,2025-01-24,Oversold Low Volume,MO,BUY,Limit Order -0.25 ATR (Persistent),46.35375377110073,47.06470489501953,1512,1075.0,0.7098475864955357,1.25,2.5,46.47697067260742,46.53121566772461,2.0409393228437978,1073086.3791446006,1342.0245398773006,52.5,0.5,,0.25,olv_close_pivot_40_v2_20260901,High,47.591636657714844,2024-09-04,86.0,86.0,53.0,False,False,252.0,-1.4938713748756312,default,0.8010285714285714,Liquid,False
2025-01-07,2025-01-08,2025-01-24,Time,2025-01-24,Oversold Low Volume,FIS,BUY,Limit Order -0.25 ATR (Persistent),75.54169981820243,75.9418716430664,575,230.0,1.3323157174246651,1.25,2.5,75.96104431152344,75.8747787475586,33.08297225480574,1073086.3791446006,958.5889570552147,37.5,0.5,,0.25,olv_close_pivot_40_v2_20260901,Low,69.18075561523438,2024-08-05,107.0,54.0,107.0,False,False,252.0,5.0243519946335296,default,0.239936,Overflow,False
2025-01-07,2025-01-08,2025-01-24,Time,2025-01-24,Oversold Low Volume,CL,BUY,Limit Order -0.25 ATR (Persistent),83.96012810298375,85.2368392944336,829,1058.0,1.294436318533761,1.25,2.5,84.01367950439453,84.28373718261719,19.867563546447055,1073086.3791446006,1342.0245398773006,52.5,0.5,,0.25,olv_close_pivot_40_v2_20260901,High,104.38202667236328,2024-09-04,86.0,86.0,311.0,False,True,252.0,-15.526673040595698,default,0.7883611428571429,Liquid,False
