Strategy,Tier,Ticker,symbol,Direction,sign,klass,Entry Date,Exit Date,Exit Type,Entry Price,etf_price,Shares_flat,etf_shares,signed_shares,notional,Risk_flat_750k,Tranche
Overbot Vol Spike,Liquid,NVDA,NVDA,Short,-1,single,2023-02-02,2023-02-06,Time,21.7094,21.7094,61,61,-61,1324.2709,59.8188,far
Overbot Vol Spike,Overflow,PAR,PAR,Short,-1,single,2023-02-02,2023-02-06,Time,38.1779,38.1779,178,178,-178,6795.6582,299.2393,far
Overbot Vol Spike,Overflow,PAR,PAR,Short,-1,single,2023-02-02,2023-02-06,Target,38.1779,38.1779,119,119,-119,4543.1647,199.4309,near
Overbot Vol Spike,Overflow,POOL,POOL,Short,-1,single,2023-02-02,2023-02-03,Target,394.1387,394.1387,19,19,-19,7488.6353,199.7073,near
Overbot Vol Spike,Overflow,POOL,POOL,Short,-1,single,2023-02-02,2023-02-06,Target,394.1387,394.1387,28,28,-28,11035.8836,298.9630,far
Overbot Vol Spike,Liquid,PSA,PSA,Short,-1,single,2023-02-02,2023-02-03,Target,273.8324,273.8324,38,38,-38,10405.6325,199.3532,near
Overbot Vol Spike,Liquid,PSA,PSA,Short,-1,single,2023-02-02,2023-02-06,Target,273.8324,273.8324,58,58,-58,15882.2812,299.3170,far
Overbot Vol Spike,Overflow,PSKY,PSKY,Short,-1,single,2023-02-02,2023-02-03,Target,24.1240,24.1240,217,217,-217,5234.8976,199.4477,near
Overbot Vol Spike,Overflow,PSKY,PSKY,Short,-1,single,2023-02-02,2023-02-06,Time,24.1240,24.1240,326,326,-326,7864.4084,299.2225,far
Overbot Vol Spike,Liquid,^NDX,QQQ,Short,-1,broad_idx,2023-02-02,2023-02-03,Target,12840.3568,306.1800,1,42,-42,12840.3568,193.9273,near
Overbot Vol Spike,Liquid,QQQ,QQQ,Short,-1,broad_idx,2023-02-02,2023-02-03,Target,306.2228,306.2228,33,33,-33,10105.3513,199.3356,near
Overbot Vol Spike,Liquid,^NDX,QQQ,Short,-1,broad_idx,2023-02-02,2023-02-06,Time,12840.3568,306.1800,1,42,-42,12840.3568,304.7429,far
Overbot Vol Spike,Liquid,QQQ,QQQ,Short,-1,broad_idx,2023-02-02,2023-02-06,Time,306.2228,306.2228,50,50,-50,15311.1384,299.3346,far
3x ETF Overbot Fade,Liquid,RETL,RETL,Short,-1,lev3x,2023-02-01,2023-02-03,Time,10.4090,10.4090,7137,7137,-7137,74289.0648,4500.0000,
3x ETF Overbot Fade,Liquid,RETL,RETL,Short,-1,lev3x,2023-02-02,2023-02-06,Time,12.0537,12.0537,3382,3382,-3382,40765.5647,2343.7500,
3x ETF Overbot Fade,Liquid,RETL,RETL,Short,-1,lev3x,2023-02-03,2023-02-07,Time,11.9076,11.9076,3061,3061,-3061,36449.0640,2343.7500,
Overbot Vol Spike,Overflow,SBGI,SBGI,Short,-1,single,2023-02-02,2023-02-03,Target,17.6977,17.6977,424,424,-424,7503.8455,199.4889,near
Overbot Vol Spike,Overflow,SBGI,SBGI,Short,-1,single,2023-02-02,2023-02-06,Target,17.6977,17.6977,636,636,-636,11255.7682,299.1813,far
3x ETF Overbot Fade,Liquid,SOXL,SOXL,Short,-1,lev3x,2023-02-02,2023-02-06,Time,17.5535,17.5535,1967,1967,-1967,34527.7661,2343.7500,
3x ETF Overbot Fade,Liquid,SOXL,SOXL,Short,-1,lev3x,2023-02-03,2023-02-07,Time,17.0272,17.0272,1928,1928,-1928,32828.4702,2343.7500,
3x ETF Overbot Fade,Liquid,SPXL,SPXL,Short,-1,lev3x,2023-02-02,2023-02-06,Time,77.0880,77.0880,755,755,-755,58201.4743,2343.7500,
3x ETF Overbot Fade,Liquid,SPXL,SPXL,Short,-1,lev3x,2023-02-03,2023-02-07,Time,75.3201,75.3201,739,739,-739,55661.5486,2343.7500,
52wh Breakout,Overflow,TBBK,TBBK,Long,1,single,2023-01-30,2023-03-10,Stop,33.5452,33.5452,1728,1728,1728,57966.0718,3937.5000,
3x ETF Overbot Fade,Liquid,TECL,TECL,Short,-1,lev3x,2023-02-02,2023-02-06,Time,30.2107,30.2107,1537,1537,-1537,46433.8799,2343.7500,
3x ETF Overbot Fade,Liquid,TECL,TECL,Short,-1,lev3x,2023-02-03,2023-02-07,Time,29.4839,29.4839,1454,1454,-1454,42869.6310,2343.7500,
Overbot Vol Spike,Liquid,TGT,TGT,Short,-1,single,2023-02-02,2023-02-03,Target,161.4538,161.4538,10,10,-10,1614.5382,39.8061,near
Overbot Vol Spike,Liquid,TGT,TGT,Short,-1,single,2023-02-02,2023-02-06,Target,161.4538,161.4538,15,15,-15,2421.8073,59.9279,far
Overbot Vol Spike,Overflow,THO,THO,Short,-1,single,2023-02-02,2023-02-06,Target,95.8134,95.8134,59,59,-59,5652.9885,199.5435,near
Overbot Vol Spike,Overflow,THO,THO,Short,-1,single,2023-02-02,2023-02-06,Time,95.8134,95.8134,88,88,-88,8431.5761,299.1267,far
3x ETF Overbot Fade,Liquid,TNA,TNA,Short,-1,lev3x,2023-02-02,2023-02-06,Time,43.7326,43.7326,1116,1116,-1116,48805.5885,2343.7500,
3x ETF Overbot Fade,Liquid,TNA,TNA,Short,-1,lev3x,2023-02-03,2023-02-07,Time,43.7926,43.7926,1084,1084,-1084,47471.2221,2343.7500,
3x ETF Overbot Fade,Liquid,TQQQ,TQQQ,Short,-1,lev3x,2023-02-02,2023-02-06,Time,12.7847,12.7847,3630,3630,-3630,46408.6316,2343.7500,
3x ETF Overbot Fade,Liquid,TQQQ,TQQQ,Short,-1,lev3x,2023-02-03,2023-02-07,Time,12.4544,12.4544,3324,3324,-3324,41398.3385,2343.7500,
Overbot Vol Spike,Overflow,UPBD,UPBD,Short,-1,single,2023-02-02,2023-02-06,Time,24.0507,24.0507,231,231,-231,5555.7011,199.4681,near
Overbot Vol Spike,Overflow,UPBD,UPBD,Short,-1,single,2023-02-02,2023-02-06,Time,24.0507,24.0507,346,346,-346,8321.5263,299.2021,far
Overbot Vol Spike,Liquid,VNQ,VNQ,Short,-1,sector_etf,2023-02-02,2023-02-03,Target,82.0928,82.0928,148,148,-148,12149.7307,199.4681,near
Overbot Vol Spike,Liquid,VNQ,VNQ,Short,-1,sector_etf,2023-02-02,2023-02-06,Target,82.0928,82.0928,221,221,-221,18142.5033,299.2021,far
Overbot Vol Spike,Overflow,WBD,WBD,Short,-1,single,2023-02-02,2023-02-03,Target,16.0268,16.0268,59,59,-59,945.5804,39.8636,near
Overbot Vol Spike,Overflow,WBD,WBD,Short,-1,single,2023-02-02,2023-02-06,Time,16.0268,16.0268,89,89,-89,1426.3840,59.8704,far
3x ETF Overbot Fade,Liquid,WEBL,WEBL,Short,-1,lev3x,2023-02-03,2023-02-07,Time,9.8871,9.8871,3371,3371,-3371,33329.2517,2343.7500,
Overbot Vol Spike,Overflow,WSM,WSM,Short,-1,single,2023-02-02,2023-02-03,Target,68.4665,68.4665,90,90,-90,6161.9883,199.4681,near
Overbot Vol Spike,Overflow,WSM,WSM,Short,-1,single,2023-02-02,2023-02-06,Target,68.4665,68.4665,135,135,-135,9242.9824,299.2021,far
Overbot Vol Spike,Liquid,XHB,XHB,Short,-1,sector_etf,2023-02-02,2023-02-03,Target,70.8733,70.8733,121,121,-121,8575.6664,199.5410,near
Overbot Vol Spike,Liquid,XHB,XHB,Short,-1,sector_etf,2023-02-02,2023-02-06,Time,70.8733,70.8733,182,182,-182,12898.9363,299.1292,far
Overbot Vol Spike,Overflow,XLC,XLC,Short,-1,sector_etf,2023-02-02,2023-02-03,Target,57.1617,57.1617,199,199,-199,11375.1770,199.4903,near
Overbot Vol Spike,Overflow,XLC,XLC,Short,-1,sector_etf,2023-02-02,2023-02-06,Time,57.1617,57.1617,298,298,-298,17034.1846,299.1799,far
Overbot Vol Spike,Liquid,XLK,XLK,Short,-1,sector_etf,2023-02-02,2023-02-03,Target,70.1804,70.1804,147,147,-147,10316.5188,199.4981,near
Overbot Vol Spike,Liquid,XLK,XLK,Short,-1,sector_etf,2023-02-02,2023-02-06,Time,70.1804,70.1804,221,221,-221,15509.8684,299.1722,far
Overbot Vol Spike,Overflow,XLRE,XLRE,Short,-1,sector_etf,2023-02-02,2023-02-03,Target,37.4836,37.4836,306,306,-306,11469.9782,199.4681,near
Overbot Vol Spike,Overflow,XLRE,XLRE,Short,-1,sector_etf,2023-02-02,2023-02-06,Target,37.4836,37.4836,459,459,-459,17204.9673,299.2021,far
Overbot Vol Spike,Liquid,XLY,XLY,Short,-1,sector_etf,2023-02-02,2023-02-03,Target,76.5525,76.5525,120,120,-120,9186.2970,199.5050,near
Overbot Vol Spike,Liquid,XLY,XLY,Short,-1,sector_etf,2023-02-02,2023-02-06,Target,76.5525,76.5525,180,180,-180,13779.4455,299.1652,far
Overbot Vol Spike,Overflow,ZBRA,ZBRA,Short,-1,single,2023-02-02,2023-02-03,Target,343.5366,343.5366,20,20,-20,6870.7320,199.4681,near
Overbot Vol Spike,Overflow,ZBRA,ZBRA,Short,-1,single,2023-02-02,2023-02-06,Time,343.5366,343.5366,30,30,-30,10306.0979,299.2021,far
